o,"Quazie, Publius Scribonius Scholasticus","Quazie, followed by Publius Scribonius Scholasticus."
nichdel,"Publius Scribonius Scholasticus,nichdel","endorse PSS, nichdel"
Publius Scribonius Scholasticus,"Publius Scribonius Scholasticus","I vote for Publius Scribonius Scholasticus."
CuddleBeam,"",I vote PRESENT
天火狐,"Publius Scribonius Scholasticus","I endorse the incumbent, if any; should the office be vacant, I vote PRESENT"
roujo,"Publius Scribonius Scholasticus","I submit a vote for whoever 天火狐's vote currently counts for"
Quazie,"Publius Scribonius Scholasticus","if the current office holder places a vote other than PRESENT I endorse em, otherwise I vote for em."
Quazie,"Publius Scribonius Scholasticus","if the current office holder places a vote other than PRESENT I endorse em, otherwise I vote for em.  "
