o,"nichdel, Gaelan","nichdel, followed by Gaelan."
nichdel,"Quazie","[Quazie]"
Publius Scribonius Scholasticus,"Quazie","I endorse nichdel."
CuddleBeam,"","I vote PRESENT"
天火狐,"","I endorse the incumbent, if any; should the office be vacant, I vote PRESENT"
roujo,"Quazie","I submit a vote for whoever 天火狐's vote currently counts for"
Quazie,"Quazie, nichdel","I vote as follows:
   [Quazie] followed by a list that is equivalent to endorsing the current office holder.

If the above vote is invalid, or results in PRESENT I instead vote:
   [Quazie, nichdel]"
Quazie,"Quazie, nichdel","I vote as follows:
   [Quazie] followed by a list that is equivalent to endorsing the current office holder.

If the above vote is invalid, or results in PRESENT I instead vote:
   [Quazie, nichdel]"
