o,"o","o."
nichdel,"o","I endorse the current officeholder."
Publius Scribonius Scholasticus,"o","I endorse o."
CuddleBeam,"",I vote PRESENT
天火狐,"o","I endorse the incumbent, if any; should the office be vacant, I vote PRESENT"
roujo,"o","I submit a vote for whoever 天火狐's vote currently counts for"
Quazie,"o","if the current office holder places a vote other than PRESENT I endorse em, otherwise I vote for em."
Quazie,"o","if the current office holder places a vote other than PRESENT I endorse em, otherwise I vote for em."
