Quazie,"Publius Scribonius Scholasticus","I vote for the first player to non-conditionally vote for emself. "
天火狐,"Publius Scribonius Scholasticus","I endorse the incumbent."
ais523,"Publius Scribonius Scholasticus","I vote for the set of persons who unconditionally vote for themselves, in the order of said votes."
Veggiekeks,"Publius Scribonius Scholasticus","I endorse Publius Scribonius Scholasticus."
Murphy,"Publius Scribonius Scholasticus","I endorse the current holder of the office in question."
o,"","I vote PRESENT, as there’s nobody I would wish this office upon."
v.j. Rada,"","I vote PRESENT on all 3"
Publius Scribonius Scholasticus,"Publius Scribonius Scholasticus"," I vote for myself."
